station_id,lat,lon,station_name,state,country,production_date,forecast_date,fcst_mn,fcst_mx,fcst_avg,norm_mn,norm_mx
KRFD,42.2,-89.1,ROCKFORD        ,IL,US,12/6/2018,12/6/2018,13,29,21.0,20.8,36.3
KRIC,37.516999999999996,-77.317,RICHMOND        ,VA,US,12/6/2018,12/6/2018,31,47,39.0,33.6,53.5
KRIV,33.867,-117.26700000000001,RIVERSIDE/MARCH,CA,US,12/6/2018,12/6/2018,40,57,48.5,41.0,67.0
KRNO,39.483000000000004,-119.76700000000001,RENO            ,NV,US,12/6/2018,12/6/2018,18,36,27.0,25.9,47.0
KROA,37.317,-79.967,ROANOKE         ,VA,US,12/6/2018,12/6/2018,29,44,36.5,32.0,50.1
KROC,43.117,-77.683,ROCHESTER       ,NY,US,12/6/2018,12/6/2018,23,38,30.5,26.5,39.5
KROW,33.3,-104.5,ROSWELL         ,NM,US,12/6/2018,12/6/2018,33,56,44.5,27.3,56.4
KRST,43.9,-92.5,ROCHESTER       ,MN,US,12/6/2018,12/6/2018,-8,19,5.5,15.3,30.0
KRWF,44.55,-95.083,REDWOOD FALL    ,MN,US,12/6/2018,12/6/2018,-7,18,5.5,12.7,29.0
KSAC,38.5,-121.5,SACRAMENTO      ,CA,US,12/6/2018,12/6/2018,36,57,46.5,38.9,55.8
KSAN,32.733000000000004,-117.18299999999999,SAN DIEGO       ,CA,US,12/6/2018,12/6/2018,54,67,60.5,49.0,65.2
KSAT,29.533,-98.46700000000001,SAN ANTONIO     ,TX,US,12/6/2018,12/6/2018,54,65,59.5,43.1,65.6
KSAV,32.117,-81.2,SAVANNAH        ,GA,US,12/6/2018,12/6/2018,33,55,44.0,42.6,64.6
KSAW,46.35,-87.4,GWINN/SAWYER    ,MI,US,12/6/2018,12/6/2018,3,19,11.0,14.3,28.5
KSBA,34.433,-119.85,SANTA BARBARA   ,CA,US,12/6/2018,12/6/2018,42,64,53.0,40.7,64.4
KSBN,41.7,-86.31700000000001,SOUTH BEND      ,IN,US,12/6/2018,12/6/2018,23,31,27.0,25.3,38.0
KSCK,37.883,-121.21700000000001,STOCKTON        ,CA,US,12/6/2018,12/6/2018,37,57,47.0,37.7,55.9
KSDF,38.183,-85.73299999999999,LOUISVILLE      ,KY,US,12/6/2018,12/6/2018,28,45,36.5,32.3,48.5
KSEA,47.45,-122.31700000000001,SEATTLE,WA,US,12/6/2018,12/6/2018,29,46,37.5,36.0,46.4
KSFO,37.617,-122.367,SAN FRANCISCO   ,CA,US,12/6/2018,12/6/2018,45,58,51.5,45.5,57.8
KSGF,37.233000000000004,-93.383,SPRINGFIELD     ,MO,US,12/6/2018,12/6/2018,23,39,31.0,27.0,47.3
KSHR,44.766999999999996,-106.96700000000001,SHERIDAN        ,WY,US,12/6/2018,12/6/2018,9,34,21.5,11.6,36.1
KSHV,32.45,-93.833,SHREVEPORT      ,LA,US,12/6/2018,12/6/2018,43,56,49.5,39.2,60.3
KSJC,37.367,-121.917,SAN JOSE        ,CA,US,12/6/2018,12/6/2018,40,59,49.5,42.8,62.4
KSJT,31.366999999999997,-100.5,SAN ANGELO      ,TX,US,12/6/2018,12/6/2018,36,65,50.5,34.8,61.3
KSLC,40.783,-111.96700000000001,SALT LAKE CITY  ,UT,US,12/6/2018,12/6/2018,24,31,27.5,23.8,39.7
KSLE,44.9,-123.0,SALEM           ,OR,US,12/6/2018,12/6/2018,24,43,33.5,34.7,47.2
KSNS,36.667,-121.6,SALINAS         ,CA,US,12/6/2018,12/6/2018,40,63,51.5,41.4,61.9
KSPI,39.85,-89.68299999999999,SPRINGFIELD     ,IL,US,12/6/2018,12/6/2018,17,34,25.5,25.1,41.4
KSPS,33.983000000000004,-98.5,WICHITA FALL    ,TX,US,12/6/2018,12/6/2018,35,60,47.5,32.3,56.5
KSRQ,27.4,-82.56700000000001,SARASOTA/BRADENT,FL,US,12/6/2018,12/6/2018,51,74,62.5,55.3,74.9
KSTC,45.55,-94.05,ST. CLOUD       ,MN,US,12/6/2018,12/6/2018,-3,20,8.5,10.5,27.6
KSTL,38.75,-90.367,ST. LOUIS       ,MO,US,12/6/2018,12/6/2018,21,38,29.5,29.4,45.2
KSTS,38.5,-122.81700000000001,SANTA ROSA      ,CA,US,12/6/2018,12/6/2018,32,60,46.0,37.1,57.3
KSUX,42.383,-96.383,SIOUX CITY      ,IA,US,12/6/2018,12/6/2018,-4,24,10.0,15.5,34.6
KSYR,43.117,-76.1,SYRACUSE        ,NY,US,12/6/2018,12/6/2018,22,36,29.0,26.0,39.6
KTHV,39.917,-76.883,YORK            ,PA,US,12/6/2018,12/6/2018,25,38,31.5,27.5,45.2
KTLH,30.4,-84.35,TALLAHASSEE     ,FL,US,12/6/2018,12/6/2018,35,58,46.5,42.7,67.2
KTOL,41.583,-83.8,TOLEDO          ,OH,US,12/6/2018,12/6/2018,23,37,30.0,25.9,39.4
KTOP,39.067,-95.633,TOPEKA          ,KS,US,12/6/2018,12/6/2018,18,35,26.5,24.4,44.1
KTPA,27.967,-82.53299999999999,TAMPA           ,FL,US,12/6/2018,12/6/2018,48,71,59.5,56.1,73.7
KTTN,40.283,-74.817,TRENTON         ,NJ,US,12/6/2018,12/6/2018,28,38,33.0,30.8,46.0
KTUL,36.2,-95.883,TULSA           ,OK,US,12/6/2018,12/6/2018,30,50,40.0,31.5,51.5
KTUS,32.133,-110.95,TUCSON          ,AZ,US,12/6/2018,12/6/2018,48,70,59.0,39.9,66.0
KTYR,32.367,-95.4,TYLER           ,TX,US,12/6/2018,12/6/2018,47,61,54.0,40.2,58.8
KTYS,35.817,-83.98299999999999,KNOXVILLE       ,TN,US,12/6/2018,12/6/2018,30,44,37.0,33.4,52.2
KUIL,47.933,-124.55,QUILLAYUTE      ,WA,US,12/6/2018,12/6/2018,28,46,37.0,34.9,46.6
KVCT,28.866999999999997,-96.93299999999999,VICTORIA        ,TX,US,12/6/2018,12/6/2018,60,73,66.5,45.7,67.8
KVIS,36.313,-119.38799999999999,Visalia Airport,CA,US,12/6/2018,12/6/2018,40,57,48.5,38.4,56.1
KVTN,42.867,-100.55,VALENTINE       ,NE,US,12/6/2018,12/6/2018,3,21,12.0,12.5,37.8
KWMC,40.9,-117.8,WINNEMUCCA      ,NV,US,12/6/2018,12/6/2018,2,31,16.5,18.2,42.7
KYKM,46.567,-120.53299999999999,YAKIMA          ,WA,US,12/6/2018,12/6/2018,16,34,25.0,22.1,37.7
KYNG,41.25,-80.667,YOUNGSTOWN      ,OH,US,12/6/2018,12/6/2018,25,36,30.5,27.1,39.6
